,MCV,MCV_x,MCV_y,GC,GC_x,GC_y,TS,x,y,GE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
27,0.8165,0.7838,0.8492,0.0364,0.0534,0.0235,0.8442,4565.668,7621.543,0.8608,4,0.138241723,232,9,0.531665742,0.97793665,4.997899043,0.72988704
28,0.8124,0.7784,0.8464,0.0372,0.0536,0.0243,0.8602,4564.603,7624.867,3.8875,5,0.117094588,264,10,0.500790838,0.65333149,4.991774341,0.012109129
29,0.8239,0.7878,0.86,0.0334,0.0506,0.0201,0.8615,4565.32,7623.152,2.1755,7,0.083840932,183,9,0.543149648,0.850121776,2.952163272,0.681068982
30,0.8195,0.7896,0.8494,0.0345,0.0486,0.0233,0.8715,4565.5493,7624.304,3.3495,7,0.076240429,243,10,0.513899368,0.688635304,2.39622442,0.795480726
31,0.8188,0.7821,0.8556,0.0351,0.0516,0.022,0.8518,4565.094,7623.679,2.6809,8,0.126698669,219,9,0.517350856,0.514383238,4.865100281,0.390149832
32,0.8165,0.7848,0.8482,0.0354,0.0509,0.0234,0.8581,4564.373,7623.0825,2.1748,7,0.17030426,133,8,0.506199596,0.743739883,4.583065489,0.025920647
33,0.8234,0.7954,0.8514,0.0334,0.0479,0.0224,0.8507,4564.704,7622.1113,1.15,6,0.173222492,101,7,0.541725043,0.742549685,4.247941054,0.972914501
34,0.8184,0.788,0.8487,0.0346,0.0485,0.0235,0.8724,4566.75,7623.7246,3.2382,4,0.094757323,222,10,0.500247024,0.776890334,4.464668285,0.837122521
35,0.8202,0.7819,0.8584,0.0345,0.0519,0.0209,0.8613,4564.8496,7625.397,4.3995,7,0.109173563,175,9,0.524907075,0.916044358,2.169570051,0.737168851
36,0.8161,0.7825,0.8496,0.0356,0.0511,0.0233,0.874,4565.164,7623.7334,2.7383,7,0.08104283,168,10,0.502630867,0.507445307,3.816258018,0.692860288
37,0.818,0.7928,0.8431,0.0352,0.0479,0.0253,0.852,4565.6553,7623.6025,2.6838,5,0.130342667,245,10,0.501878476,0.765132621,2.113123056,0.034084464
38,0.8263,0.7955,0.857,0.0321,0.0463,0.0212,0.8667,4564.84,7623.979,2.9833,8,0.084190944,196,10,0.554459602,0.857482755,4.851520449,0.636300483
39,0.8263,0.7912,0.8615,0.0322,0.0481,0.0198,0.8601,4565.777,7623.466,2.5853,8,0.085923636,205,10,0.528326838,0.888286168,2.585335951,0.478136905
40,0.8156,0.7919,0.8393,0.0357,0.0481,0.0263,0.8505,4564.959,7624.862,3.862,6,0.169630194,80,8,0.562738862,0.940759561,3.328817016,0.668799824
41,0.8204,0.7835,0.8573,0.0347,0.0523,0.0214,0.8631,4563.2397,7622.616,2.3897,7,0.14334785,123,8,0.563618428,0.91685644,4.920339049,0.028934141
42,0.8199,0.7848,0.855,0.0351,0.0522,0.0218,0.854,4565.093,7623.9785,2.98,8,0.121778454,183,10,0.587187743,0.860779238,3.42019073,0.411844785
43,0.8124,0.7747,0.8502,0.037,0.0559,0.0227,0.8512,4565.4395,7621.1074,0.4524,7,0.144126133,185,10,0.527207572,0.574151885,2.306237956,0.516596505
44,0.8158,0.78,0.8517,0.0355,0.0526,0.0225,0.8678,4565.9653,7624.8335,3.9532,6,0.087482521,221,10,0.509357839,0.707735319,2.066358667,0.286478188
45,0.8241,0.7944,0.8537,0.0328,0.0466,0.0219,0.8638,4565.644,7623.016,2.1165,7,0.089462013,176,10,0.550008765,0.926423919,3.519590742,0.196524096
46,0.8127,0.7758,0.8497,0.037,0.0554,0.023,0.8656,4565.2017,7622.693,1.7048,7,0.091899369,157,8,0.631438956,0.748024729,0.112202081,0.613261454
47,0.8235,0.7962,0.8509,0.0326,0.0452,0.0227,0.8462,4564.6577,7623.634,2.6559,5,0.131397489,200,10,0.511454824,0.699935732,3.885282121,0.53884022
48,0.8246,0.7939,0.8553,0.0327,0.0472,0.0215,0.8523,4565.647,7624.86,3.9137,5,0.12584964,187,10,0.501197759,0.932573756,2.44566607,0.985240345
49,0.8175,0.7826,0.8524,0.0352,0.0515,0.0227,0.8657,4565.3164,7624.178,3.1939,6,0.073659398,250,9,0.532703299,0.951029561,1.973257019,0.232316967
